cremona_label,modular_degree
11a1,1
14a1,1
15a1,1
17a1,1
19a1,1
20a1,1
21a1,1
24a1,1
26a1,2
26b1,2
27a1,1
30a1,2
32a1,1
33a1,3
34a1,2
35a1,2
36a1,1
37a1,2
37b1,2
38a1,6
38b1,2
39a1,2
40a1,2
42a1,4
43a1,2
44a1,2
45a1,2
46a1,5
48a1,2
49a1,1
50a1,2
50b1,2
51a1,2
52a1,3
53a1,2
54a1,6
54b1,2
55a1,2
56a1,2
56b1,4
57a1,4
57b1,3
57c1,12
58a1,4
58b1,4
61a1,2
62a1,2
63a1,4
64a1,2
65a1,2
66a1,4
66b1,4
66c1,20
67a1,5
69a1,2
70a1,4
72a1,4
73a1,3
75a1,6
75b1,6
75c1,6
76a1,6
77a1,4
77b1,20
77c1,6
78a1,40
79a1,2
80a1,4
80b1,4
82a1,4
83a1,2
84a1,6
84b1,6
85a1,4
88a1,8
89a1,2
89b1,5
90a1,8
90b1,8
90c1,16
91a1,4
91b1,4
92a1,2
92b1,6
94a1,2
96a1,4
96b1,4
98a1,16
99a1,4
99b1,12
99c1,12
99d1,6
100a1,12
101a1,2
102a1,8
102b1,16
102c1,24
104a1,8
105a1,4
106a1,6
106b1,8
106c1,48
106d1,10
108a1,6
109a1,4
110a1,20
110b1,4
110c1,28
112a1,8
112b1,4
112c1,8
113a1,6
114a1,12
114b1,20
114c1,60
115a1,10
116a1,120
116b1,8
116c1,15
117a1,8
118a1,4
118b1,12
118c1,6
118d1,38
120a1,8
120b1,8
121a1,6
121b1,4
121c1,6
121d1,24
122a1,8
123a1,20
123b1,4
124a1,6
124b1,6
126a1,8
126b1,32
128a1,4
128b1,8
128c1,4
128d1,8
129a1,8
129b1,15
130a1,24
130b1,8
130c1,80
131a1,2
132a1,6
132b1,30
135a1,12
135b1,36
136a1,8
136b1,8
138a1,8
138b1,16
138c1,8
139a1,6
140a1,12
140b1,60
141a1,28
141b1,12
141c1,6
141d1,4
141e1,12
142a1,36
142b1,4
142c1,9
142d1,4
142e1,324
143a1,4
144a1,4
144b1,8
145a1,4
147a1,24
147b1,42
147c1,6
148a1,12
150a1,8
150b1,40
150c1,48
152a1,8
152b1,8
153a1,8
153b1,16
153c1,8
153d1,24
154a1,24
154b1,24
154c1,16
155a1,20
155b1,8
155c1,4
156a1,12
156b1,12
158a1,32
158b1,8
158c1,48
158d1,40
158e1,6
160a1,8
160b1,8
161a1,10
162a1,12
162b1,6
162c1,6
162d1,12
163a1,6
166a1,8
168a1,8
168b1,24
170a1,16
170b1,160
170c1,84
170d1,12
170e1,20
171a1,12
171b1,8
171c1,96
171d1,32
172a1,12
174a1,1540
174b1,28
174c1,12
174d1,10
174e1,52
175a1,8
175b1,16
175c1,40
176a1,16
176b1,8
176c1,8
178a1,32
178b1,28
179a1,9
180a1,12
182a1,180
182b1,12
182c1,308
182d1,36
182e1,140
184a1,8
184b1,8
184c1,12
184d1,24
185a1,48
185b1,8
185c1,6
186a1,44
186b1,20
186c1,28
187a1,16
187b1,30
189a1,12
189b1,12
189c1,12
189d1,36
190a1,88
190b1,8
190c1,24
192a1,8
192b1,8
192c1,8
192d1,8
194a1,14
195a1,24
195b1,12
195c1,84
195d1,84
196a1,6
196b1,42
197a1,10
198a1,32
198b1,32
198c1,32
198d1,32
198e1,160
200a1,120
200b1,8
200c1,24
200d1,40
200e1,24
201a1,12
201b1,12
201c1,60
202a1,34
203a1,48
203b1,8
203c1,12
204a1,132
204b1,12
205a1,12
205b1,16
205c1,8
206a1,15
207a1,16
208a1,16
208b1,16
208c1,12
208d1,48
209a1,24
210a1,48
210b1,96
210c1,32
210d1,16
210e1,128
212a1,12
212b1,21
213a1,6
214a1,28
214b1,12
214c1,60
214d1,12
215a1,8
216a1,24
216b1,24
216c1,72
216d1,72
218a1,24
219a1,12
219b1,12
219c1,60
220a1,36
220b1,12
221a1,120
221b1,24
222a1,12
222b1,44
222c1,36
222d1,52
222e1,2484
224a1,8
224b1,8
225a1,8
225b1,40
225c1,48
225d1,48
225e1,48
226a1,24
228a1,18
228b1,24
229a1,8
231a1,20
232a1,16
232b1,16
233a1,27
234a1,28
234b1,48
234c1,16
234d1,320
234e1,20
235a1,12
235b1,108
235c1,18
236a1,6
236b1,14
238a1,112
238b1,8
238c1,16
238d1,16
238e1,80
240a1,16
240b1,48
240c1,16
240d1,16
242a1,16
242b1,176
243a1,6
243b1,9
244a1,12
245a1,48
245b1,336
245c1,32
246a1,84
246b1,300
246c1,1680
246d1,48
246e1,24
246f1,20
246g1,44
248a1,8
248b1,16
248c1,8
249a1,24
249b1,8
252a1,48
252b1,48
254a1,36
254b1,16
254c1,12
254d1,24
256a1,8
256b1,8
256c1,8
256d1,8
258a1,24
258b1,196
258c1,40
258d1,60
258e1,760
258f1,168
258g1,12
259a1,36
260a1,48
262a1,44
262b1,12
264a1,16
264b1,16
264c1,24
264d1,336
265a1,30
267a1,10
267b1,238
268a1,18
269a1,6
270a1,36
270b1,60
270c1,12
270d1,60
272a1,16
272b1,16
272c1,16
272d1,48
273a1,48
273b1,672
274a1,28
274b1,132
274c1,12
275a1,24
275b1,28
277a1,10
278a1,32
278b1,272
280a1,16
280b1,240
282a1,48
282b1,64
285a1,40
285b1,24
285c1,72
286a1,60
286b1,104
286c1,24
286d1,120
286e1,60
286f1,12
288a1,16
288b1,32
288c1,32
288d1,16
288e1,48
289a1,72
290a1,48
291a1,1012
291b1,120
291c1,12
291d1,12
294a1,84
294b1,12
294c1,192
294d1,60
294e1,420
294f1,448
294g1,64
296a1,16
296b1,16
297a1,72
297b1,12
297c1,36
297d1,24
298a1,36
298b1,20
300a1,36
300b1,180
300c1,120
300d1,24
302a1,120
302b1,27
302c1,40
303a1,112
303b1,32
304a1,48
304b1,48
304c1,16
304d1,16
304e1,24
304f1,24
306a1,192
306b1,48
306c1,128
306d1,64
307a1,13
307b1,10
307c1,11
307d1,15
308a1,24
309a1,20
310a1,48
310b1,96
312a1,16
312b1,16
312c1,16
312d1,32
312e1,240
312f1,48
314a1,20
315a1,20
315b1,32
316a1,36
316b1,36
318a1,20
318b1,60
318c1,24
318d1,88
318e1,204
319a1,92
320a1,16
320b1,16
320c1,16
320d1,16
320e1,16
320f1,16
322a1,48
322b1,112
322c1,24
322d1,40
323a1,140
324a1,18
324b1,36
